"...1","id","host_response_rate","host_acceptance_rate","host_is_superhost","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_group_cleansed","accommodates","bedrooms","beds","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_60","availability_365","number_of_reviews","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","calculated_host_listings_count","reviews_per_month","n_days_last_review","n_character_in_desription","n_days_host_since","n_characters_in_host_about","n_host_verifications","classes_property_type","bathrooms_type","bathroom_number","n_amenities","amenities_Wifi","amenities_Backyard","amenities_TV","amenities_Washer","amenities_Dishwasher","amenities_AC","amenities_Breakfast","price_new","price_per_accomate","lasso_rating"
6642,17423245,0,0,0,2,1,1,"Manhattan",2,1,1,30,1125,1,0,0,22,4.52,4.43,4.57,4.52,4.43,4.57,2,0.56,642,952,2685,42,7,2,1,1,31,1,0,1,1,1,1,0,95,47.5,-0.968032539759337
6643,17430853,73,87,0,4,1,1,"Queens",2,1,1,1,1125,1,4,309,74,4.54,4.15,4.67,4.5,4.71,4.54,3,1.47,85,1000,1711,163,6,2,1,1,24,1,0,1,0,0,0,0,48,24,-1.0392095453175
6644,17431995,100,100,1,4,1,1,"Manhattan",4,2,2,30,1125,1,25,55,35,4.89,4.89,4.97,4.91,4.94,4.69,3,0.88,90,1000,1683,691,7,3,2,1,39,1,0,1,0,0,1,0,155,38.75,0.425639722189485
6645,17433572,100,86,1,8,1,1,"Manhattan",2,1,2,1,180,1,55,360,13,4.92,5,5,5,4.77,4.69,8,0.28,1097,1000,3650,551,3,2,2,1.5,36,1,0,1,1,1,1,0,238,119,0.407488749484145
6646,17434184,100,86,1,8,1,1,"Manhattan",3,1,2,1.1,180,1,59,269,36,5,4.92,4.97,4.97,4.82,4.91,8,0.89,66,1000,3650,551,3,2,1,1.5,32,1,0,1,1,1,1,0,179,59.6666666666667,0.57990631580589
6647,17446640,100,100,0,1,1,0,"Brooklyn",2,1,1,1,1125,1,0,215,196,4.84,4.8,4.9,4.85,4.56,4.8,1,3.94,597,676,1682,280,4,3,2,1.5,23,1,1,1,0,0,1,0,80,40,0.0567007025082949
6648,17447150,100,81,1,8,1,1,"Manhattan",4,1,3,30,1125,1,33,338,6,5,5,5,5,5,4.67,8,0.31,552,1000,2709,14,7,3,2,1,44,1,0,1,1,1,1,0,170,42.5,0.581806811863288
6649,17447168,90,79,0,2,1,1,"Brooklyn",2,1,1,30,1125,1,0,0,4,4.67,3.33,3.33,4.67,4.33,4,2,0.09,1008,668,2384,158,5,2,1,1,14,1,0,1,1,0,1,0,59,29.5,-1.82043541038785
6650,17448930,100,50,0,1,1,1,"Brooklyn",2,1,0,30,90,1,0,210,8,4.88,4.88,5,5,5,4.63,1,0.35,144,1000,1682,0,5,3,2,1,24,1,0,1,0,0,1,0,170,85,0.37256904688014
6651,17456705,100,0,0,7,1,1,"Manhattan",2,1,1,30,1125,1,0,0,17,4.35,3.71,4.88,4.76,4.94,4.18,3,0.79,676,787,2589,133,6,2,1,1,25,1,0,0,1,1,1,0,80,40,-1.25772690199357
